线路号: 1112
9051	2289
9052	26
9053	1862
9054	923
9056	38
9057	1835
9058	1720
9059	2294
9060	101
9061	138
9063	79
9064	2003
9065	2246
9066	2009
9067	128
9068	67
9069	14
9070	2001
9071	66
9073	64
9074	163
9075	2006
9076	91
9077	2245
9078	2005
9079	116
9080	70
9081	1884
9082	1630
9083	1631
9084	2290
9085	2367
9086	2536
9087	2533
9088	98
9089	1863
9090	2360
9091	28
9092	2535
9093	2358
9096	1845
9097	1377
9098	1015
9099	76
9100	123
9101	2538
9102	180
9118	918
9119	2366
9120	1069
9121	34
9122	905
9123	2376
9124	2244
9125	160
9126	1614
9269	1998
9270	2000
