线路号: 1115
1198	1647
1199	818
1200	2355
1201	2351
1202	2349
1203	2347
1204	813
1205	767
1206	1267
1207	1665
1208	1162
1209	1185
1210	853
1212	1215
1213	885
1214	1170
1216	1824
1217	1205
1218	1952
1219	1924
1220	1407
1221	1165
1222	806
1223	874
1224	1822
1225	1788
1226	1823
1227	2158
1228	868
1229	1716
1230	1557
1231	1358
1233	2078
1234	1951
1236	877
1237	1942
1238	1193
1239	1381
1241	799
1242	2398
1243	2156
1244	1962
1245	1382
1246	2075
1247	1268
1248	1960
1249	361
1251	2188
1252	1961
7124	2397
7125	884
7126	2159
7128	1963
7130	1208
7131	888
7132	1408
7133	840
7134	1554
10063	1173
10064	878
