线路号: 1114
10053	1918
10054	1584
10055	1579
10056	2084
10057	1112
10058	978
10059	1910
10060	1362
10061	989
10062	1645
10083	941
10084	2266
10085	2083
10086	1589
10087	904
10088	2102
10089	970
10090	940
10092	1891
10093	1710
10095	1375
10096	948
10097	2302
10098	945
10099	1868
10100	1911
10101	1336
10102	1000
10103	1021
10105	953
10107	1109
10108	1056
10109	2041
10110	1712
10111	2165
10112	924
10113	1917
10114	2106
10115	988
10117	964
10119	2087
10120	1535
10121	930
10122	2104
10123	1346
10124	1418
10125	1919
10126	1575
10127	956
10128	2304
10129	1668
10130	2208
10131	894
10133	902
10134	1588
